Ticker,Company Name,Brokerage,Action,Current Price,Price Target,Rating
AAPL,Apple,20250220000000,245.273,,-,Buy
TEX,Terex,20250219000000,45.515,,Analyst David Raso,Outperform -> Outperform
TKR,Timken,20250219000000,83.37,,Analyst D. Raso,Outperform -> Outperform
TPH,Tri Pointe Homes,20250219000000,31.445,,Analyst Stephen Kim,Outperform -> Outperform
URI,United Rentals,20250219000000,697.64,,Analyst David Raso,Outperform -> Outperform
WPC,W. P. Carey,20250219000000,60.875,,Analyst Steve Sakwa,In-Line -> In-Line
OSK,Oshkosh,20250219000000,109.5,,Analyst David Raso,Outperform -> Outperform
PCAR,PACCAR,20250219000000,106.112,,Analyst D. Raso,Outperform -> Outperform
PH,Parker-Hannifin,20250219000000,691.96,,Analyst David Raso,Outperform -> Outperform
CAT,Caterpillar,20250219000000,348.583,,Analyst D. Raso,In-Line -> In-Line
,,382.545,,,Evercore ISI,Analyst D. Raso
CMI,Cummins,20250219000000,382.545,,Analyst D. Raso,Outperform -> Outperform
DE,Deere & Company,20250219000000,494.93,,Analyst David Raso,In-Line -> In-Line
ETN,Eaton,20250219000000,306.907,,Analyst D. Raso,In-Line -> In-Line
ETR,Entergy,20250219000000,85.539,,Analyst Durgesh Chopra,In-Line -> In-Line
GPC,Genuine Parts,20250219000000,123.273,,Analyst Greg Melich,In-Line -> In-Line
GTES,Gates Industrial,20250219000000,23.368,,Analyst David Raso,In-Line -> In-Line
IR,Ingersoll Rand,20250219000000,86.305,,Analyst David Raso,In-Line -> In-Line
ITW,Illinois Tool Works,20250219000000,264.778,,Analyst D. Raso,Underperform -> Underperform
LNC,Lincoln National,20250219000000,38.63,,Analyst Thomas Gallagher,In-Line -> In-Line
BMBL,Bumble,20250219000000,5.493,,Analyst Shweta Khajuria,In-Line -> In-Line
AN,AutoNation,20250218000000,187.907,,Analyst Douglas Dutton,Outperform -> Outperform
ASND,Ascendis Pharma A/S,20250218000000,154.57,,Analyst G. Clark-Gartner,Outperform -> Outperform
AUR,Aurora Innovation,20250218000000,8.127,,Analyst C. Mcnally,In-Line -> In-Line
CCEP,Coca-Cola Europacific Partners,20250218000000,86.486,,Analyst Robert Ottenstein,Outperform -> Outperform
CRNC,Cerence,20250218000000,13.365,,Analyst Chris McNally,In-Line -> In-Line
LAD,Lithia Motors,20250218000000,359.305,,Analyst Douglas Dutton,Outperform -> Outperform
MGA,Magna International,20250218000000,38.07,,Analyst Chris McNally,In-Line -> In-Line
POR,Portland General Electric,20250218000000,43.87,,Analyst M. Lonegan,Outperform -> Outperform
QS,QuantumScape,20250218000000,5.235,,Analyst Chris McNally,Outperform -> Outperform
CRSP,CRISPR Therapeutics,20250214000000,50.722,,Analyst Liisa Bayko,In-Line -> Outperform
TTD,Trade Desk,20250213000000,74.557,,Analyst Shweta Khajuria,Outperform -> Inline
TVTX,Travere Therapeutics,20250212000000,23.546,,Analyst Liisa Bayko,Outperform -> Outperform
ZG,Zillow Group,20250212000000,75.793,,Analyst Mark Mahaney,Outperform -> Outperform
DASH,DoorDash,20250212000000,199.971,,Analyst Mark Mahaney,Outperform -> Outperform
EW,Edwards Lifesciences,20250212000000,74.71,,Analyst Vijay Kumar,In-Line -> In-Line
HAIN,The Hain Celestial Group,20250212000000,3.967,,Analyst David Palmer,In-Line -> In-Line
KO,Coca-Cola,20250212000000,69.895,,Analyst Robert Ottenstein,Outperform -> Outperform
KRC,Kilroy Realty,20250212000000,34.022,,Analyst Steve Sakwa,In-Line -> In-Line
LYFT,Lyft,20250212000000,13.375,,Analyst Mark Mahaney,In-Line -> In-Line
SHOP,Shopify,20250212000000,123.128,,Analyst Mark Mahaney,Outperform -> Outperform
SNOW,Snowflake,20250212000000,182.81,,Analyst Kirk Materne,Outperform -> Outperform
SPGI,S&P Global,20250212000000,534.89,,Analyst D. Motemaden,Outperform -> Outperform
SWTX,SpringWorks Therapeutics,20250212000000,61.03,,Analyst C. Kasimov,Outperform -> Outperform
TDC,Teradata,20250212000000,23.765,,Analyst Chirag Ved,Outperform -> Outperform
TPG,TPG,20250212000000,58.084,,Analyst Glenn Schorr,In-Line -> In-Line
CFLT,Confluent,20250212000000,32.451,,Analyst Chirag Ved,Outperform -> Outperform
CG,The Carlyle Group,20250212000000,51.19,,Analyst Glenn Schorr,In-Line -> In-Line
COTY,Coty,20250212000000,5.635,,Analyst R. Ottenstein,Outperform -> Outperform
CYTK,Cytokinetics,20250207000000,49.905,,Analyst C. Kasimov,Strong-Buy
BRX,Brixmor Property Group,20250211000000,27.405,,Analyst Samir Khanal,In-Line -> Outperform
TXNM,TXNM Energy,20250211000000,51.38,,Analyst Michael Lonegan,In-Line -> Outperform
APTV,Aptiv,20250210000000,67.557,,Analyst Chris McNally,Outperform -> Outperform
